feature,shap_value
C2_gamma,0.2951907993974244
C1_beta,0.20823215178952814
C1_gamma,0.20413980295061307
F8_gamma,0.180509311815067
C4_gamma,0.1736342263774632
Fp1_gamma,0.1619177791277182
C2_beta,0.14580418271770398
C3_gamma,0.11595406822582521
FC4_gamma,0.11035413489333254
PO8_gamma,0.10007957656888017
F1_gamma,0.09224384436076644
AF8_gamma,0.09181833391408384
Fz_gamma,0.08679963441288777
FC1_gamma,0.085702560996703
AFz_gamma,0.0851384014514977
FC2_beta,0.08338914949385753
F3_gamma,0.07787134735067655
F2_gamma,0.076150780028231
T8_gamma,0.0741559086457978
AF4_gamma,0.07051909353928268
P8_gamma,0.06790084214291006
AF3_gamma,0.06228806207345221
FCz_gamma,0.059426372116764964
FT7_gamma,0.05639839340399178
FC3_beta,0.050946341999498226
F4_gamma,0.0480859980736465
Fp2_theta,0.04569827560649886
Fp2_alpha,0.04569827560649886
FC1_beta,0.04504831254906557
Fpz_theta,0.043103625678709755
Fpz_alpha,0.043103625678709755
F7_beta,0.04275680246199707
P7_beta,0.040884553407341984
TP8_gamma,0.040785027798680616
Fp1_alpha,0.04051210948861731
Fp1_theta,0.04051210948861731
FCz_beta,0.04030978633014061
PO7_gamma,0.037879688609898834
F5_gamma,0.03737630855345878
CP5_gamma,0.03604625760032347
FC6_gamma,0.0356958876734805
AF4_theta,0.03548948626722556
AF4_alpha,0.03548948626722556
FC3_gamma,0.03478704191543837
F4_alpha,0.03437642760867945
F4_theta,0.03437642760867945
P5_beta,0.033945253519663245
P3_beta,0.03386695554623573
F5_theta,0.03296885409168136
F5_alpha,0.03296885409168136
AF8_theta,0.03286377318083555
AF8_alpha,0.03286377318083555
AFz_alpha,0.031221891645674998
AFz_theta,0.031221891645674998
FC5_beta,0.03038774446911507
AF3_theta,0.030124096767018854
AF3_alpha,0.030124096767018854
F3_beta,0.0299973558355201
C5_beta,0.029469189024273725
F6_theta,0.028784209411586104
F6_alpha,0.028784209411586104
CP3_beta,0.02832199110706878
C5_gamma,0.02749319741477071
CPz_gamma,0.027441584841265725
AF7_theta,0.027354533929918986
AF7_alpha,0.027354533929918986
Fp1_beta,0.02661509949757759
F3_alpha,0.026562157289428914
F3_theta,0.026562157289428914
Cz_alpha,0.025766798367174795
Cz_theta,0.025766798367174795
C6_beta,0.0257402356688218
FC2_gamma,0.025308313257351438
PO7_beta,0.02466830321003688
C4_alpha,0.0241525639457987
C4_theta,0.0241525639457987
F8_alpha,0.023759592102857368
F8_theta,0.023759592102857368
C6_gamma,0.023556674528103692
FC5_theta,0.02189661374792
FC5_alpha,0.02189661374792
PO8_beta,0.021766722809325435
O2_gamma,0.02163529724440782
P6_gamma,0.02092303213680518
C3_beta,0.020773999811089326
Fpz_gamma,0.02060990211656821
Cz_gamma,0.020056433685839772
F1_theta,0.019681717991708442
F1_alpha,0.019681717991708442
TP7_beta,0.019591418928919576
PO4_beta,0.019409609470088483
CP3_gamma,0.01933166158364864
FT7_theta,0.019007654667064798
FT7_alpha,0.019007654667064798
F2_alpha,0.018402295969798695
F2_theta,0.018402295969798695
AFz_beta,0.01805324720390848
C4_beta,0.017802352055186887
FC3_alpha,0.01778159003080633
FC3_theta,0.01778159003080633
F7_gamma,0.017519146665395176
F5_beta,0.017232370966785347
FT8_gamma,0.01715001595648534
FC5_gamma,0.017071039355089235
Fz_theta,0.016996953614606975
Fz_alpha,0.016996953614606975
P1_beta,0.0167129006116286
Fp2_gamma,0.01613114156083634
AF8_beta,0.016101212784416744
P4_beta,0.015746036540601787
FC6_beta,0.015390196720876806
FC4_beta,0.015370596707229222
AF4_beta,0.015108313675079806
P6_beta,0.015060911464838731
POz_beta,0.014503756769738405
P8_beta,0.014307305763491332
CP2_beta,0.013798188999290285
F1_beta,0.013785253448188517
PO3_beta,0.013395030944470395
C2_theta,0.01285419501189682
C2_alpha,0.01285419501189682
T7_alpha,0.01251434037840113
T7_theta,0.01251434037840113
Oz_gamma,0.01204573133264168
T7_beta,0.01200277783118152
CP4_beta,0.01199851692255522
CPz_beta,0.011984132094181374
O1_beta,0.011937481333620343
T7_gamma,0.011359508608820821
POz_gamma,0.011286579238809647
CP5_beta,0.011116095234220842
P7_gamma,0.010865688554835936
CP1_beta,0.010718928408258993
F7_theta,0.010033270795205045
F7_alpha,0.010033270795205045
FC1_alpha,0.00975587420265955
FC1_theta,0.00975587420265955
F8_beta,0.009499947784739471
F6_gamma,0.009407218055277885
PO4_gamma,0.009191805616545173
FC6_theta,0.009112290143884216
FC6_alpha,0.009112290143884216
FC2_alpha,0.009090772136220197
FC2_theta,0.009090772136220197
AF7_beta,0.009048346400269212
CP1_gamma,0.008987870108238441
Pz_gamma,0.008683929167281074
C6_theta,0.00867117517694471
C6_alpha,0.00867117517694471
P5_gamma,0.008506997229503424
P2_beta,0.008399623195434707
CP6_alpha,0.008105105048778437
CP6_theta,0.008105105048778437
CP2_gamma,0.00791326266886819
O2_beta,0.007557672961621566
P3_gamma,0.0073981972454502136
FT7_beta,0.006752948498677912
F6_beta,0.00654022227851688
FT8_beta,0.00637147857432559
P4_gamma,0.006180308240119578
Cz_beta,0.005599206508307568
O1_gamma,0.005428352060451501
FCz_theta,0.005114056622258715
FCz_alpha,0.005114056622258715
Pz_beta,0.004933377085309361
TP8_beta,0.004607080216936312
CP6_beta,0.004594535942117654
P2_gamma,0.0040483699554350475
Oz_beta,0.003875607252259997
AF7_gamma,0.003840588992294323
CP6_gamma,0.00382642955780824
C3_alpha,0.003782691009411175
C3_theta,0.003782691009411175
